symbol,weight,name,sector,industry,exchange,market_cap
A,,"Agilent Technologies, Inc.",Healthcare,Medical - Diagnostics & Research,NYSE,38046414720.0
AAPL,,Apple Inc.,Technology,Consumer Electronics,NASDAQ,4810109090000.0
ABBV,,AbbVie Inc.,Healthcare,Drug Manufacturers - General,NYSE,431486142745.0
ABNB,,"Airbnb, Inc.",Consumer Cyclical,Travel Services,NASDAQ,88065552271.0
ABT,,Abbott Laboratories,Healthcare,Medical - Devices,NYSE,155491378700.0
ACGL,,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,NASDAQ,34428850002.0
ACN,,Accenture plc,Technology,Information Technology Services,NYSE,83848307775.0
ADBE,,Adobe Inc.,Technology,Software - Application,NASDAQ,89262600000.0
ADI,,"Analog Devices, Inc.",Technology,Semiconductors,NASDAQ,190431549158.0
ADM,,Archer-Daniels-Midland Company,Consumer Defensive,Agricultural Farm Products,NYSE,39665022172.0
ADP,,"Automatic Data Processing, Inc.",Technology,Software - Application,NASDAQ,98922242767.0
ADSK,,"Autodesk, Inc.",Technology,Software - Application,NASDAQ,44125134554.0
AEE,,Ameren Corporation,Utilities,Regulated Electric,NYSE,30824594990.0
AEP,,"American Electric Power Company, Inc.",Utilities,Regulated Electric,NASDAQ,72093912500.0
AES,,The AES Corporation,Utilities,Independent Power Producers,NYSE,10561865730.0
AFL,,Aflac Incorporated,Financial Services,Insurance - Life,NYSE,61592274850.0
AIG,,"American International Group, Inc.",Financial Services,Insurance - Diversified,NYSE,40709233648.0
AIZ,,"Assurant, Inc.",Financial Services,Insurance - Specialty,NYSE,13572088727.0
AJG,,Arthur J. Gallagher & Co.,Financial Services,Insurance - Brokers,NYSE,63662519340.0
AKAM,,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,NASDAQ,17447707975.0
ALB,,Albemarle Corporation,Basic Materials,Chemicals - Specialty,NYSE,14711168366.0
ALGN,,"Align Technology, Inc.",Healthcare,Medical - Devices,NASDAQ,12981501700.0
ALL,,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,NYSE,61647181080.0
ALLE,,Allegion plc,Industrials,Security & Protection Services,NYSE,11671813938.0
AMAT,,"Applied Materials, Inc.",Technology,Semiconductors,NASDAQ,460043663370.0
AMCR,,Amcor plc,Consumer Cyclical,Packaging & Containers,NYSE,20065802946.0
AMD,,"Advanced Micro Devices, Inc.",Technology,Semiconductors,NASDAQ,862815684000.0
AME,,"AMETEK, Inc.",Industrials,Electrical Equipment & Parts,NYSE,53523484560.0
AMGN,,Amgen Inc.,Healthcare,Drug Manufacturers - General,NASDAQ,193388170560.0
AMP,,"Ameriprise Financial, Inc.",Financial Services,Asset Management,NYSE,47432406873.0
AMT,,American Tower Corporation,Real Estate,REIT - Specialty,NYSE,78563536590.0
AMZN,,"Amazon.com, Inc.",Consumer Cyclical,Specialty Retail,NASDAQ,2742630216000.0
ANET,,"Arista Networks, Inc.",Technology,Computer Hardware,NYSE,216476409781.0
