alpha_id,model,theme,annualized_return,annualized_vol,sharpe_ratio,dsr_z_score,dsr,ic_execution,mean_rank_ic,ic_std,ic_information_ratio,ic_n_days,status,error
alpha_00dc4068,claude-opus-5,beta,-18.8954,37.4577,-0.5044,-5.06,0.0001,open_t1,0.00068,0.2443,0.0028,9197,REJECTED_DSR,
alpha_14430022,claude-opus-5,beta,,,,,,,,,,0,FAILED_EXECUTION,"Unable to allocate 28.0 MiB for an array with shape (3665665,) and data type uint64"
alpha_19bbb24b,claude-opus-5,trading_volume,141.0024,202.8473,0.6951,2.3,0.9893,open_t1,0.00294,0.09581,0.0307,9158,SURVIVED_PHASE_1,
alpha_237b608a,claude-opus-5,beta,,,,,,,,,,0,FAILED_EXECUTION,"Unable to allocate 28.0 MiB for an array with shape (3665665,) and data type uint64"
alpha_3d4b753b,claude-opus-5,long_term_reversal,-6.9833,21.3062,-0.3278,-3.85,0.0001,open_t1,-0.01076,0.14877,-0.0723,8981,REJECTED_DSR,
alpha_48b8f5da,claude-opus-5,momentum,8.8946,21.4388,0.4149,0.53,0.7012,open_t1,0.01008,0.14735,0.0684,9107,REJECTED_DSR,
alpha_50838e22,claude-opus-5,liquidity,24.7364,15.7501,1.5706,7.98,0.9999,open_t1,0.01208,0.12806,0.0943,9189,SURVIVED_PHASE_1,
alpha_508fadfe,claude-opus-5,volatility,-4.8238,6.7395,-0.7158,-7.42,0.0001,open_t1,-0.00535,0.07221,-0.0741,9175,REJECTED_DSR,
alpha_50b8603e,claude-opus-5,nearness_to_the_52_week_high,-11.7848,23.6241,-0.4988,-5.16,0.0001,open_t1,0.00525,0.15314,0.0343,9036,REJECTED_DSR,
alpha_57a5a332,claude-opus-5,long_term_reversal,4.3852,25.5409,0.1717,-0.95,0.1709,open_t1,-0.00811,0.16356,-0.0496,8982,REJECTED_DSR,
alpha_5b9d327e,claude-opus-5,volatility,22.3023,16.3914,1.3606,6.61,0.9999,open_t1,0.00953,0.11165,0.0853,9187,SURVIVED_PHASE_1,
alpha_6e31e302,claude-opus-5,trading_volume,8.2853,5.9046,1.4032,6.92,0.9999,open_t1,0.01369,0.13962,0.0981,9176,SURVIVED_PHASE_1,
alpha_72c354e4,claude-opus-5,liquidity,36.36,22.3566,1.6264,7.52,0.9999,open_t1,0.01228,0.13188,0.0931,9189,SURVIVED_PHASE_1,
alpha_7514b4e5,claude-opus-5,long_term_reversal,-0.4379,30.2546,-0.0145,-2.07,0.0195,open_t1,-0.00859,0.1642,-0.0523,8982,REJECTED_DSR,
alpha_82fa8747,claude-opus-5,momentum,-4.5855,21.7753,-0.2106,-3.27,0.0005,open_t1,0.00617,0.14858,0.0416,9033,REJECTED_DSR,
alpha_931846b5,claude-opus-5,nearness_to_the_52_week_high,-15.2331,29.5083,-0.5162,-5.34,0.0001,open_t1,0.00796,0.17459,0.0456,9014,REJECTED_DSR,
alpha_951423d0,claude-opus-5,short_term_reversal,23.3532,15.5717,1.4997,7.21,0.9999,open_t1,0.01252,0.13044,0.096,9219,SURVIVED_PHASE_1,
alpha_a25f1309,claude-opus-5,nearness_to_the_52_week_high,-3.86,13.6019,-0.2838,-3.77,0.0001,open_t1,0.00783,0.1543,0.0508,8982,REJECTED_DSR,
alpha_b38fe0a9,claude-opus-5,liquidity,32.3902,23.2855,1.391,6.94,0.9999,open_t1,0.01267,0.13911,0.0911,9222,SURVIVED_PHASE_1,
alpha_e2ffe6bb,claude-opus-5,momentum,-1.2817,22.6405,-0.0566,-2.34,0.0097,open_t1,0.00765,0.15182,0.0504,9108,REJECTED_DSR,
alpha_e570ed13,claude-opus-5,trading_volume,5.572,5.7895,0.9624,4.21,0.9999,open_t1,0.00905,0.1155,0.0783,9188,SURVIVED_PHASE_1,
alpha_e9c23265,claude-opus-5,short_term_reversal,0.1017,0.0629,1.6172,7.96,0.9999,open_t1,0.01263,0.13807,0.0915,9221,SURVIVED_PHASE_1,
alpha_f8ee3701,claude-opus-5,short_term_reversal,9.8212,6.875,1.4285,7.1,0.9999,open_t1,0.01425,0.14413,0.0989,9215,SURVIVED_PHASE_1,
alpha_fc131683,claude-opus-5,volatility,4.3462,12.3793,0.3511,0.15,0.561,open_t1,0.00238,0.08742,0.0272,9019,REJECTED_DSR,
