alpha_id,model,theme,annualized_return,annualized_vol,sharpe_ratio,dsr_z_score,dsr,ic_execution,mean_rank_ic,ic_std,ic_information_ratio,ic_n_days,status,error
alpha_0a22b5d9,gemini-3.6-flash,beta,-31.5372,31.5766,-0.9988,-8.19,0.0001,open_t1,-0.00516,0.16969,-0.0304,9183,REJECTED_DSR,
alpha_0e5ad6e0,gemini-3.6-flash,volatility,-10.6262,18.285,-0.5811,-5.6,0.0001,open_t1,-0.00447,0.12052,-0.0371,9213,REJECTED_DSR,
alpha_22470197,gemini-3.6-flash,short_term_reversal,20.8559,15.3884,1.3553,6.47,0.9999,open_t1,0.01143,0.12646,0.0904,9217,SURVIVED_PHASE_1,
alpha_310a2d1a,gemini-3.6-flash,liquidity,,,,,,,,,,0,FAILED_EXECUTION,expected string or bytes-like object
alpha_31f9149c,gemini-3.6-flash,beta,-20.772,20.3112,-1.0227,-8.32,0.0001,open_t1,-0.00614,0.13458,-0.0456,9183,REJECTED_DSR,
alpha_3221e96b,gemini-3.6-flash,beta,-16.4679,19.7127,-0.8354,-7.18,0.0001,open_t1,-0.00494,0.13302,-0.0372,9158,REJECTED_DSR,
alpha_3c2f1bc5,gemini-3.6-flash,volatility,43.737,29.1946,1.4981,6.96,0.9999,open_t1,0.0144,0.14443,0.0997,9217,SURVIVED_PHASE_1,
alpha_4502b5af,gemini-3.6-flash,momentum,-23.279,21.3027,-1.0928,-8.81,0.0001,open_t1,-0.00612,0.13646,-0.0449,9176,REJECTED_DSR,
alpha_6a1a6f8d,gemini-3.6-flash,trading_volume,-1.7053,13.7629,-0.1239,-2.74,0.003,open_t1,-0.00167,0.07965,-0.021,9214,REJECTED_DSR,
alpha_78ebbccf,gemini-3.6-flash,liquidity,22.8419,13.8027,1.6549,8.28,0.9999,open_t1,0.00595,0.10331,0.0576,9213,SURVIVED_PHASE_1,
alpha_8047543a,gemini-3.6-flash,trading_volume,-19.4076,15.0986,-1.2854,-10.01,0.0001,open_t1,-0.00835,0.10378,-0.0804,9217,REJECTED_DSR,
alpha_8a8df75c,gemini-3.6-flash,long_term_reversal,-2.2462,24.879,-0.0903,-2.51,0.006,open_t1,-0.01188,0.1656,-0.0717,8981,REJECTED_DSR,
alpha_96a96551,gemini-3.6-flash,volatility,58.3149,17.5438,3.324,16.56,0.9999,open_t1,0.00773,0.11469,0.0674,9218,SURVIVED_PHASE_1,
alpha_97aeb2d8,gemini-3.6-flash,nearness_to_the_52_week_high,-10.1943,19.0116,-0.5362,-5.51,0.0001,open_t1,0.00184,0.11618,0.0159,8986,REJECTED_DSR,
alpha_9aab3d1e,gemini-3.6-flash,liquidity,24.6852,13.997,1.7636,8.8,0.9999,open_t1,0.0063,0.10014,0.0629,9197,SURVIVED_PHASE_1,
alpha_a10e2afe,gemini-3.6-flash,momentum,0.1373,22.6809,0.0061,-1.94,0.026,open_t1,0.00647,0.15523,0.0417,9111,REJECTED_DSR,
alpha_a728eba6,gemini-3.6-flash,nearness_to_the_52_week_high,,,,,,,,,,0,FAILED_EXECUTION,min_periods 126 must be <= window 60
alpha_ac177fa4,gemini-3.6-flash,nearness_to_the_52_week_high,-5.2424,16.1011,-0.3256,-4.07,0.0001,open_t1,0.00509,0.12332,0.0413,8982,REJECTED_DSR,
alpha_c0c1ca4f,gemini-3.6-flash,long_term_reversal,-9.2289,24.1528,-0.3821,-4.22,0.0001,open_t1,-0.01219,0.16559,-0.0736,8985,REJECTED_DSR,
alpha_c1754043,gemini-3.6-flash,short_term_reversal,24.0424,18.8027,1.2787,5.76,0.9999,open_t1,0.01143,0.12779,0.0894,9217,SURVIVED_PHASE_1,
alpha_cf45008b,gemini-3.6-flash,momentum,-27.1902,21.403,-1.2704,-9.83,0.0001,open_t1,-0.00788,0.13785,-0.0572,9174,REJECTED_DSR,
alpha_d8be488a,gemini-3.6-flash,trading_volume,-37.3959,16.632,-2.2484,-15.59,0.0001,open_t1,-0.00877,0.10619,-0.0826,9218,REJECTED_DSR,
alpha_e31df18b,gemini-3.6-flash,short_term_reversal,31.6711,19.9644,1.5864,7.63,0.9999,open_t1,0.01166,0.13041,0.0894,9217,SURVIVED_PHASE_1,
alpha_f0d9f6b4,gemini-3.6-flash,long_term_reversal,-9.222,24.1537,-0.3818,-4.22,0.0001,open_t1,-0.01219,0.16558,-0.0736,8985,REJECTED_DSR,
