alpha_id,model,theme,annualized_return,annualized_vol,sharpe_ratio,dsr_z_score,dsr,ic_execution,mean_rank_ic,ic_std,ic_information_ratio,ic_n_days,status,error
alpha_06eaa5d7,gpt-5.6-sol,momentum,-2.2855,13.3909,-0.1707,-3.03,0.0012,open_t1,0.00611,0.15826,0.0386,9106,REJECTED_DSR,
alpha_0b7a9845,gpt-5.6-sol,short_term_reversal,8.1185,5.0704,1.6012,7.73,0.9999,open_t1,0.00773,0.12145,0.0636,9218,SURVIVED_PHASE_1,
alpha_22092009,gpt-5.6-sol,long_term_reversal,-0.5896,7.8027,-0.0756,-2.42,0.0077,open_t1,-0.01058,0.17806,-0.0594,8964,REJECTED_DSR,
alpha_283a89f6,gpt-5.6-sol,liquidity,3.5272,3.3675,1.0474,4.71,0.9999,open_t1,0.0062,0.08404,0.0738,9214,SURVIVED_PHASE_1,
alpha_3205f951,gpt-5.6-sol,short_term_reversal,7.8681,5.7052,1.3791,6.41,0.9999,open_t1,0.01127,0.12875,0.0876,9217,SURVIVED_PHASE_1,
alpha_531b4df4,gpt-5.6-sol,short_term_reversal,15.5512,11.3998,1.3642,6.31,0.9999,open_t1,0.01158,0.12881,0.0899,9217,SURVIVED_PHASE_1,
alpha_53dc361e,gpt-5.6-sol,trading_volume,-5.7203,5.6924,-1.0049,-8.0,0.0001,open_t1,-0.00014,0.07589,-0.0018,9212,REJECTED_DSR,
alpha_6469c6c8,gpt-5.6-sol,momentum,-4.0494,12.7204,-0.3183,-3.95,0.0001,open_t1,0.00369,0.14682,0.0251,9168,REJECTED_DSR,
alpha_892decf0,gpt-5.6-sol,long_term_reversal,-1.2489,7.8461,-0.1592,-2.91,0.0018,open_t1,-0.012,0.17759,-0.0676,8985,REJECTED_DSR,
alpha_8c81a59b,gpt-5.6-sol,nearness_to_the_52_week_high,-14.4765,17.2229,-0.8405,-7.44,0.0001,open_t1,0.00232,0.18053,0.0128,8982,REJECTED_DSR,
alpha_94d09c91,gpt-5.6-sol,nearness_to_the_52_week_high,-7.218,8.5902,-0.8403,-7.44,0.0001,open_t1,0.00232,0.18053,0.0128,8982,REJECTED_DSR,
alpha_a3d1a1d6,gpt-5.6-sol,beta,-5.4785,10.3557,-0.529,-5.22,0.0001,open_t1,0.00058,0.24744,0.0023,9197,REJECTED_DSR,
alpha_aad8537f,gpt-5.6-sol,nearness_to_the_52_week_high,-7.218,8.5902,-0.8403,-7.44,0.0001,open_t1,0.00232,0.18053,0.0128,8982,REJECTED_DSR,
alpha_ab4bc903,gpt-5.6-sol,long_term_reversal,-1.6604,6.7432,-0.2462,-3.43,0.0003,open_t1,-0.0121,0.16431,-0.0736,8985,REJECTED_DSR,
alpha_ada96f52,gpt-5.6-sol,liquidity,9.2731,5.5141,1.6817,8.21,0.9999,open_t1,0.01242,0.12808,0.097,9214,SURVIVED_PHASE_1,
alpha_b959ae38,gpt-5.6-sol,volatility,-2.9259,4.1247,-0.7094,-6.24,0.0001,open_t1,-0.00742,0.09887,-0.0751,9215,REJECTED_DSR,
alpha_c76f01a4,gpt-5.6-sol,beta,3.9703,20.7578,0.1913,-0.82,0.2057,open_t1,0.01273,0.24757,0.0514,9177,REJECTED_DSR,
alpha_c7a0b99f,gpt-5.6-sol,momentum,-3.7884,12.3652,-0.3064,-3.87,0.0001,open_t1,0.00299,0.14312,0.0209,9172,REJECTED_DSR,
alpha_cd223ad6,gpt-5.6-sol,volatility,13.1679,10.817,1.2173,5.38,0.9999,open_t1,0.00741,0.12599,0.0588,9216,SURVIVED_PHASE_1,
alpha_cee44e99,gpt-5.6-sol,volatility,33.7162,72.2687,0.4665,1.07,0.8567,open_t1,0.00854,0.10466,0.0816,9215,REJECTED_DSR,
alpha_d34474c5,gpt-5.6-sol,liquidity,12.4897,11.7606,1.062,4.47,0.9999,open_t1,0.00748,0.13663,0.0548,9216,SURVIVED_PHASE_1,
alpha_de867dae,gpt-5.6-sol,trading_volume,-4.006,3.1972,-1.253,-9.44,0.0001,open_t1,-0.0007,0.08017,-0.0087,9215,REJECTED_DSR,
alpha_f84c3338,gpt-5.6-sol,trading_volume,0.721,1.5979,0.4512,0.79,0.7862,open_t1,0.0069,0.08959,0.077,9216,REJECTED_DSR,
alpha_fc30ce60,gpt-5.6-sol,beta,1.6145,38.264,0.0422,-1.73,0.0422,open_t1,0.00489,0.24739,0.0198,9197,REJECTED_DSR,
