alpha_id,model,theme,annualized_return,annualized_vol,sharpe_ratio,dsr_z_score,dsr,ic_execution,mean_rank_ic,ic_std,ic_information_ratio,ic_n_days,status,error
alpha_k001,kakushadze_2016_control,control_kakushadze,-0.0488,0.0502,-0.9727,-9.23,0.0001,open_t1,-0.00608,0.10187,-0.0597,9215,REJECTED_DSR,
alpha_k002,kakushadze_2016_control,control_kakushadze,-0.0022,0.0257,-0.0857,-2.79,0.0026,open_t1,0.00254,0.06228,0.0408,9230,REJECTED_DSR,
alpha_k003,kakushadze_2016_control,control_kakushadze,0.0404,0.0277,1.4583,6.41,0.9999,open_t1,0.0056,0.06121,0.0915,9228,SURVIVED_PHASE_1,
alpha_k004,kakushadze_2016_control,control_kakushadze,0.0736,0.0537,1.3711,6.42,0.9999,open_t1,0.01279,0.12521,0.1021,9229,SURVIVED_PHASE_1,
alpha_k006,kakushadze_2016_control,control_kakushadze,0.0356,0.0367,0.9701,3.59,0.9998,open_t1,0.00593,0.08272,0.0717,9228,SURVIVED_PHASE_1,
alpha_k007,kakushadze_2016_control,control_kakushadze,0.113,0.0453,2.496,10.53,0.9999,open_t1,0.01091,0.07791,0.14,9168,SURVIVED_PHASE_1,
alpha_k008,kakushadze_2016_control,control_kakushadze,0.0659,0.0483,1.3659,6.12,0.9999,open_t1,0.00941,0.11639,0.0808,9222,SURVIVED_PHASE_1,
alpha_k009,kakushadze_2016_control,control_kakushadze,0.0185,0.0812,0.228,-0.87,0.1912,open_t1,0.00448,0.11354,0.0395,9232,REJECTED_DSR,
alpha_k010,kakushadze_2016_control,control_kakushadze,0.0109,0.0424,0.2559,-0.73,0.234,open_t1,0.00067,0.10714,0.0062,9233,REJECTED_DSR,
alpha_k012,kakushadze_2016_control,control_kakushadze,-0.0204,0.0694,-0.2941,-4.2,0.0001,open_t1,0.00311,0.07361,0.0423,9236,REJECTED_DSR,
alpha_k013,kakushadze_2016_control,control_kakushadze,0.0214,0.0289,0.7391,1.95,0.9747,open_t1,0.006,0.06332,0.0948,9233,SURVIVED_PHASE_1,
alpha_k014,kakushadze_2016_control,control_kakushadze,0.0344,0.0413,0.8318,2.75,0.997,open_t1,0.00514,0.08058,0.0638,9228,SURVIVED_PHASE_1,
alpha_k015,kakushadze_2016_control,control_kakushadze,0.0197,0.0277,0.7104,1.91,0.9719,open_t1,0.00431,0.05893,0.0731,9233,SURVIVED_PHASE_1,
alpha_k016,kakushadze_2016_control,control_kakushadze,0.0319,0.0376,0.8488,1.34,0.9099,open_t1,0.00758,0.06149,0.1233,9233,REJECTED_DSR,
alpha_k017,kakushadze_2016_control,control_kakushadze,0.0135,0.0484,0.2796,-0.6,0.2753,open_t1,0.0011,0.10461,0.0105,9214,REJECTED_DSR,
alpha_k018,kakushadze_2016_control,control_kakushadze,0.0728,0.0437,1.6654,7.81,0.9999,open_t1,0.01075,0.10722,0.1003,9228,SURVIVED_PHASE_1,
alpha_k019,kakushadze_2016_control,control_kakushadze,0.0925,0.0575,1.6102,5.81,0.9999,open_t1,0.01155,0.12398,0.0932,8987,SURVIVED_PHASE_1,
alpha_k020,kakushadze_2016_control,control_kakushadze,0.0381,0.0467,0.8142,2.69,0.9964,open_t1,0.00647,0.11058,0.0585,9236,SURVIVED_PHASE_1,
alpha_k021,kakushadze_2016_control,control_kakushadze,0.0989,0.0443,2.2338,8.35,0.9999,open_t1,0.01135,0.0867,0.1309,9230,SURVIVED_PHASE_1,
alpha_k022,kakushadze_2016_control,control_kakushadze,0.0239,0.0366,0.6524,1.67,0.9525,open_t1,0.00421,0.07357,0.0572,9218,SURVIVED_PHASE_1,
alpha_k023,kakushadze_2016_control,control_kakushadze,0.0703,0.0768,0.915,3.25,0.9994,open_t1,0.00827,0.10025,0.0825,9218,SURVIVED_PHASE_1,
alpha_k024,kakushadze_2016_control,control_kakushadze,0.1063,0.0626,1.6975,8.21,0.9999,open_t1,0.01406,0.115,0.1222,9038,SURVIVED_PHASE_1,
alpha_k026,kakushadze_2016_control,control_kakushadze,0.0178,0.0357,0.4977,0.72,0.7632,open_t1,0.00522,0.07903,0.066,9227,REJECTED_DSR,
alpha_k028,kakushadze_2016_control,control_kakushadze,0.0518,0.0599,0.8648,1.87,0.9692,open_t1,0.00471,0.08947,0.0527,8265,SURVIVED_PHASE_1,
alpha_k029,kakushadze_2016_control,control_kakushadze,0.0795,0.0538,1.4785,6.21,0.9999,open_t1,0.00894,0.1099,0.0813,9226,SURVIVED_PHASE_1,
alpha_k030,kakushadze_2016_control,control_kakushadze,0.1085,0.0483,2.248,11.17,0.9999,open_t1,0.01052,0.10238,0.1028,9218,SURVIVED_PHASE_1,
alpha_k031,kakushadze_2016_control,control_kakushadze,0.0514,0.0356,1.4469,4.07,0.9999,open_t1,0.00717,0.08658,0.0828,9207,SURVIVED_PHASE_1,
alpha_k033,kakushadze_2016_control,control_kakushadze,0.0815,0.0577,1.4132,6.41,0.9999,open_t1,0.0068,0.13375,0.0508,9237,SURVIVED_PHASE_1,
alpha_k034,kakushadze_2016_control,control_kakushadze,0.0445,0.0459,0.9683,4.01,0.9999,open_t1,0.00698,0.1014,0.0688,9232,SURVIVED_PHASE_1,
alpha_k035,kakushadze_2016_control,control_kakushadze,0.1336,0.059,2.2644,9.83,0.9999,open_t1,0.01233,0.11704,0.1053,9205,SURVIVED_PHASE_1,
alpha_k037,kakushadze_2016_control,control_kakushadze,0.0822,0.0509,1.6164,7.05,0.9999,open_t1,0.00902,0.10911,0.0827,9037,SURVIVED_PHASE_1,
alpha_k038,kakushadze_2016_control,control_kakushadze,0.1013,0.0566,1.79,8.9,0.9999,open_t1,0.00996,0.13265,0.0751,9228,SURVIVED_PHASE_1,
alpha_k039,kakushadze_2016_control,control_kakushadze,0.1004,0.0545,1.8405,9.19,0.9999,open_t1,0.01009,0.12668,0.0796,8987,SURVIVED_PHASE_1,
alpha_k040,kakushadze_2016_control,control_kakushadze,0.0449,0.0459,0.979,3.72,0.9999,open_t1,0.00669,0.08788,0.0761,9228,SURVIVED_PHASE_1,
alpha_k043,kakushadze_2016_control,control_kakushadze,0.0951,0.0468,2.0309,7.75,0.9999,open_t1,0.01007,0.09484,0.1061,9199,SURVIVED_PHASE_1,
alpha_k044,kakushadze_2016_control,control_kakushadze,0.0224,0.0348,0.6427,1.07,0.8571,open_t1,0.00752,0.06638,0.1132,9233,REJECTED_DSR,
alpha_k045,kakushadze_2016_control,control_kakushadze,0.0019,0.027,0.0722,-1.84,0.0329,open_t1,0.00248,0.06478,0.0383,9213,REJECTED_DSR,
alpha_k046,kakushadze_2016_control,control_kakushadze,0.0725,0.0472,1.5348,7.35,0.9999,open_t1,0.00755,0.10193,0.0741,9217,SURVIVED_PHASE_1,
alpha_k049,kakushadze_2016_control,control_kakushadze,0.0454,0.0633,0.716,2.05,0.9799,open_t1,0.00466,0.10695,0.0436,9217,SURVIVED_PHASE_1,
alpha_k051,kakushadze_2016_control,control_kakushadze,0.0407,0.062,0.6561,1.69,0.9542,open_t1,0.00472,0.10483,0.045,9217,SURVIVED_PHASE_1,
alpha_k052,kakushadze_2016_control,control_kakushadze,0.1314,0.0901,1.458,6.64,0.9999,open_t1,0.01135,0.12004,0.0945,8997,SURVIVED_PHASE_1,
